Month,MoMInflation,DealsSearchVolume
2009-01,0.3,24
2009-02,0.4,23
2009-03,0.4,23
2009-04,0.2,20
2009-05,0,22
2009-06,0.1,24
2009-07,0,26
2009-08,0.1,23
2009-09,0.2,19
2009-10,0.3,19
2009-11,-0.2,57
2009-12,-0.2,28
2010-01,0,23
2010-02,0.2,22
2010-03,0.2,22
2010-04,0,19
2010-05,0,20
2010-06,0,22
2010-07,0,21
2010-08,0.1,20
2010-09,0.2,16
2010-10,0.1,17
2010-11,0,50
2010-12,-0.1,23
2011-01,0.2,23
2011-02,0.4,23
2011-03,0.3,22
2011-04,0.2,22
2011-05,0.2,22
2011-06,0.2,24
2011-07,0.1,25
2011-08,0.3,23
2011-09,0.2,20
2011-10,0.2,19
2011-11,0.1,72
2011-12,-0.1,28
2012-01,0.2,23
2012-02,0.3,23
2012-03,0.4,20
2012-04,0.2,19
2012-05,0.1,23
2012-06,0.1,21
2012-07,0,22
2012-08,0.1,21
2012-09,0.3,18
2012-10,0.2,18
2012-11,0,72
2012-12,-0.1,25
2013-01,0.3,21
2013-02,0.4,21
2013-03,0.3,21
2013-04,0.1,19
2013-05,0.1,19
2013-06,0.1,21
2013-07,0.1,23
2013-08,0.2,21
2013-09,0.2,18
2013-10,0.2,18
2013-11,0,54
2013-12,-0.1,42
2014-01,0.2,21
2014-02,0.3,21
2014-03,0.4,21
2014-04,0.3,20
2014-05,0.2,20
2014-06,0.1,22
2014-07,0,24
2014-08,0.1,22
2014-09,0.2,18
2014-10,0.2,18
2014-11,-0.1,55
2014-12,-0.2,36
2015-01,0.2,21
2015-02,0.3,21
2015-03,0.4,19
2015-04,0.3,18
2015-05,0.1,19
2015-06,0.1,21
2015-07,0,26
2015-08,0.1,22
2015-09,0.3,20
2015-10,0.3,19
2015-11,0,71
2015-12,-0.1,28
2016-01,0.3,22
2016-02,0.5,23
2016-03,0.3,21
2016-04,0.3,20
2016-05,0.2,22
2016-06,0.1,22
2016-07,0,25
2016-08,0.2,21
2016-09,0.2,21
2016-10,0.2,20
2016-11,0,66
2016-12,0,28
2017-01,0.4,23
2017-02,0.4,23
2017-03,0.1,23
2017-04,0.1,21
2017-05,0.1,22
2017-06,0.1,25
2017-07,0,27
2017-08,0.2,22
2017-09,0.2,21
2017-10,0.3,22
2017-11,-0.1,81
2017-12,0,28
2018-01,0.4,22
2018-02,0.4,22
2018-03,0.3,23
2018-04,0.2,20
2018-05,0.2,21
2018-06,0.1,22
2018-07,0.1,25
2018-08,0.1,22
2018-09,0.2,20
2018-10,0.2,21
2018-11,0,100
2018-12,0,30
2019-01,0.4,22
2019-02,0.4,24
2019-03,0.3,22
2019-04,0.2,19
2019-05,0.1,23
2019-06,0.2,23
2019-07,0.1,30
2019-08,0.2,23
2019-09,0.1,22
2019-10,0.2,22
2019-11,0,78
2019-12,-0.1,45
