activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases,data_version,data_version_information
memory-provider_aws-region_us_gov_east_1,c461b335-085e-464b-bb5c-a481388aa61b,AWS (us-gov-east-1) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_aws-region_us_gov_east_1,c88d3c94-ab3a-4e72-9463-f912f0be2914,AWS (us-gov-east-1) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_aws-region_us_gov_west_1,f2087b27-1b84-47b1-89e3-fc13cdb5cd09,AWS (us-gov-west-1) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_aws-region_us_gov_west_1,cfaf549e-859f-4fd4-8dc4-ba4fc3389cc8,AWS (us-gov-west-1) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_aws-region_us_gov_east_1,b874c47e-674c-4a5d-a490-c597deb397bc,AWS (us-gov-east-1) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for usage of a single CPU in kg CO2e per hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_aws-region_us_gov_east_1,ff534779-4b70-4e89-a247-101da51ce267,AWS (us-gov-east-1) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for usage of a single CPU in kg CO2e per hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_aws-region_us_gov_west_1,55f89ca9-6023-47d0-a5c6-09cea935be07,AWS (us-gov-west-1) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for usage of a single CPU in kg CO2e per hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_aws-region_us_gov_west_1,0da8859b-c54e-4478-8d84-62e9bac38e54,AWS (us-gov-west-1) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for usage of a single CPU in kg CO2e per hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_aws-region_us_gov_east_1,377c46fe-e88b-4e0b-800f-196fbac05616,AWS (us-gov-east-1) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_aws-region_us_gov_east_1,bbd7ff5a-3481-4040-9c48-fac4a0b846bc,AWS (us-gov-east-1) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
